stopid,stopname,stopsite,latitude,longitude,syscode,system,muni
140199,Auburn at Shelby (SB),SB_Auburn_FS_Shelby,49.856334,-119.600915,KEL,Kelowna Regional Transit System,West Kelowna
140200,Auburn at Shannon Ridge Dr (SB),SB_Auburn_NS_Shannon Ridge Dr,49.853774,-119.600904,KEL,Kelowna Regional Transit System,West Kelowna
140201,Bartley at Shannon Lake Rd (SB),SB_Bartley_FS_Shannon Lake Rd,49.864029,-119.587891,KEL,Kelowna Regional Transit System,West Kelowna
140202,Byland at Compass Crt (SB),SB_Byland_FS_Compass Crt,49.860824,-119.589534,KEL,Kelowna Regional Transit System,West Kelowna
140203,Byland at Kyle (SB),SB_Byland_FS_Kyle,49.858512,-119.592895,KEL,Kelowna Regional Transit System,West Kelowna
140204,Shannon Lake at Alexandria (SB),SB_Shannon Lake_FS_Alexandria Way,49.855146,-119.618082,KEL,Kelowna Regional Transit System,West Kelowna
140205,Shannon Lake at Stone Grove Cres (SB),SB_Shannon Lake_FS_Stone Grove Cres,49.858207,-119.617104,KEL,Kelowna Regional Transit System,West Kelowna
140206,Shannon Lake Rd at Asquith (SB),SB_Shannon Lake_NS_Asquith ,49.851614,-119.618602,KEL,Kelowna Regional Transit System,West Kelowna
140207,Shannon Ridge at Lakeside Crt (SB),SB_Shannon Ridge_FS_Lakeside Crt,49.853643,-119.613695,KEL,Kelowna Regional Transit System,West Kelowna
140208,Shannon Ridge at Shannon Green Crt (SB),SB_Shannon Ridge_NS_Shannon Green Crt,49.854587,-119.612074,KEL,Kelowna Regional Transit System,West Kelowna
140209,Daimier at Auburn (WB),WB_Daimier_NS_Auburn,49.857673,-119.598772,KEL,Kelowna Regional Transit System,West Kelowna
140210,Shannon Lake at Crystal Dr (WB),WB_Shannon Lake_FS_Crystal Dr,49.868774,-119.593,KEL,Kelowna Regional Transit System,West Kelowna
140211,Shannon Lake at Shannon Lake (WB),WB_Shonnon Lake_FS_Shannon Lake,49.866902,-119.600681,KEL,Kelowna Regional Transit System,West Kelowna
140212,Shannon Lake at Shannon Woods (WB),WB_Shannon Lake_FS_Shannon Woods,49.865833,-119.606146,KEL,Kelowna Regional Transit System,West Kelowna
140213,Westbank Exchange Bay D (EB),EB_Westbank Exchange_Bay D,49.828333,-119.6306,KEL,Kelowna Regional Transit System,West Kelowna
140214,Westbank Exchange Bay E,Westbank Exchange_Bay E,49.829783,-119.630446,KEL,Kelowna Regional Transit System,West Kelowna
140215,Queensway Exchange Bay K,Queensway Exchange_Bay K,49.887161,-119.494993,KEL,Kelowna Regional Transit System,Kelowna
140105,Edwards Rd at Hwy 97  (EB),EB_Edwards Rd_FS_Hwy 97,49.924263,-119.385031,KEL,Kelowna Regional Transit System,Kelowna
140106,Edwards Rd at Hwy 97 (WB),WB_Edwards Rd_NS_Hwy 97,49.924517,-119.385803,KEL,Kelowna Regional Transit System,Kelowna
140107,Acland Rd at Penno Rd (SB),SB_Acland Rd_NS_Penno Rd,49.92214,-119.384048,KEL,Kelowna Regional Transit System,Kelowna
140108,Acland Rd at Penno Rd (NB),NB_Acland Rd_NS_Penno Rd,49.92159,-119.383892,KEL,Kelowna Regional Transit System,Kelowna
140109,Acland Rd at Old Vernon Rd (NB),NB_Acland_FS_Old Vernon Rd,49.918609,-119.383868,KEL,Kelowna Regional Transit System,Kelowna
140110,Rutland Rd at Old Vernon Rd (SB),SB_Rutland Rd_FS_Old Vernon Rd,49.91784,-119.384409,KEL,Kelowna Regional Transit System,Kelowna
140111,Rutland Rd at Commercial Dr (SB),SB_Rutland Rd_FS_Commercial Dr,49.915055,-119.386673,KEL,Kelowna Regional Transit System,Kelowna
140112,Rutland Rd at Commercial Dr (NB),NB_Rutland Rd_FS_Commercial Dr,49.91558,-119.385904,KEL,Kelowna Regional Transit System,Kelowna
140113,Hwy 97 at Sexsmith Rd (SB),SB_Hwy 97_FS_Sexsmith Rd,49.916959,-119.38904,KEL,Kelowna Regional Transit System,Kelowna
140114,Hwy 97 at Old Vernon Rd (NB),NB_Hwy 07_FS_Old Vernon Rd,49.918993,-119.386966,KEL,Kelowna Regional Transit System,Kelowna
140116,Elk Rd at Acorn (WB),WB_Elk Rd_FS_Acorn Dr,49.839227,-119.605915,KEL,Kelowna Regional Transit System,Tsinstikeptum  9
140117,Elk Rd at Acorn Dr (EB),EB_Elk Rd_NS_Acorn Dr,49.839098,-119.60606,KEL,Kelowna Regional Transit System,Tsinstikeptum  9
140165,Boucherie Exchange Bay F (EB),EB_Boucherie Exchange_Bay F,49.862222,-119.583849,KEL,Kelowna Regional Transit System,West Kelowna
140166,Asquith at Saddleback (EB),EB_Asquith_NS_Saddleback,49.851183,-119.62471,KEL,Kelowna Regional Transit System,West Kelowna
140167,Copper Ridge at Smith Creek (EB),EB_Copper Ridge_FS_Smith Creek,49.853763,-119.643532,KEL,Kelowna Regional Transit System,West Kelowna
140168,Daimier at Auburn (EB),EB_Daimier_FS_Auburn,49.857547,-119.598918,KEL,Kelowna Regional Transit System,West Kelowna
140169,Shannon Lake at Crystal (EB),EB_Shannon Lake_FS_Crystal,49.867258,-119.59108,KEL,Kelowna Regional Transit System,West Kelowna
140170,Shannon Way at Westville (EB),EB_Shannon Way_FS_Westville,49.848879,-119.61538,KEL,Kelowna Regional Transit System,West Kelowna
140171,Wild Horse at Bridlehill (EB),EB_Wild Horse_FS_Bridlehill,49.853709,-119.632746,KEL,Kelowna Regional Transit System,West Kelowna
140172,Elliott at Butt (NB),NB_Elliott_FS_Butt,49.837114,-119.630837,KEL,Kelowna Regional Transit System,West Kelowna
140173,Elliott at Reece (NB),NB_Elliott_FS_Reece,49.844621,-119.633643,KEL,Kelowna Regional Transit System,West Kelowna
140174,Elliott at Springer Ln (NB),NB_Elliott_FS_Springer Ln,49.833314,-119.630778,KEL,Kelowna Regional Transit System,West Kelowna
140175,Elliott at Neufeld (NB),NB_Elliott_NS_Neufeld,49.841686,-119.633659,KEL,Kelowna Regional Transit System,West Kelowna
140176,Elliott at Solar (NB),NB_Elliott_NS_Solar,49.831196,-119.630813,KEL,Kelowna Regional Transit System,West Kelowna
140177,Shannon Ridge at 2175 Blk (EB),EB_Shannon Ridge_AT_2175 Blk,49.855773,-119.605577,KEL,Kelowna Regional Transit System,West Kelowna
140178,Wild Horse Dr at 2569 Blk (NB),NB_Wild Horse_AT_2569 Blk,49.853052,-119.636468,KEL,Kelowna Regional Transit System,West Kelowna
140179,Auburn at 2886 Blk (NB),NB_Auburn_AT_2886 Blk,49.855621,-119.600689,KEL,Kelowna Regional Transit System,Tsinstikeptum  9
140180,Bartley at Byland (NB),NB_Bartley_FS_Byland,49.863025,-119.587512,KEL,Kelowna Regional Transit System,West Kelowna
140181,Byland at Kyle (NB),NB_Byland_FS_Kyle,49.859059,-119.591921,KEL,Kelowna Regional Transit System,West Kelowna
140182,Byland at Compass (NB),NB_Byland_NS_Compass,49.860769,-119.589488,KEL,Kelowna Regional Transit System,West Kelowna
140183,Ironridge Rd at Ironridge Crt (NB),NB_Ironridge Rd_FS_Ironridge Crt,49.854519,-119.627571,KEL,Kelowna Regional Transit System,West Kelowna
140184,Shannon Lake at Golf Course Dr (NB),NB_Shannon Lake_FS_Golf Course Dr,49.863483,-119.609352,KEL,Kelowna Regional Transit System,West Kelowna
140185,Shannon Lake at Shannon View Dr (NB),NB_Shannon Lake_FS_Shannon View Dr,49.865913,-119.604883,KEL,Kelowna Regional Transit System,West Kelowna
140186,Shannon Lake Rd at Shannon Lake (NB),NB_Shannon Lake Rd_FS_Shannon Lake,49.866799,-119.599774,KEL,Kelowna Regional Transit System,West Kelowna
140187,Shannon Lake Rd at Shannon Ridge Dr (NB),NB_Shannon Lake Rd_FS_Shannon Ridge Dr,49.85309,-119.617432,KEL,Kelowna Regional Transit System,West Kelowna
140188,Shannon Lake at Stone Grove Cres (NB),NB_Shannon Lake_FS_Stone Grove Cres,49.858264,-119.616607,KEL,Kelowna Regional Transit System,West Kelowna
140189,Shannon Lake Rd at Swite (NB),NB_Shannon Lake Rd_FS_Swite,49.855337,-119.617833,KEL,Kelowna Regional Transit System,West Kelowna
140162,John Hindle at Landfilll (EB),EB_John Hindle_AT_Landfill,49.944169,-119.41265,KEL,Kelowna Regional Transit System,Kelowna
140164,Shepherd at Roxby (EB),EB_Shepherd_FS_Roxby,49.890525,-119.388771,KEL,Kelowna Regional Transit System,Kelowna
140163,John Hindle at Landfilll (WB),WB_John Hindle_AT_Landfill,49.944236,-119.412289,KEL,Kelowna Regional Transit System,Kelowna
140217,Spiers at Klo (NB),NB_Spiers_NS_Klo,49.860222,-119.442977,KEL,Kelowna Regional Transit System,Kelowna
140218,Spiers at Klo (SB),SB_Spiers_FS_Klo,49.860318,-119.443167,KEL,Kelowna Regional Transit System,Kelowna
140216,Rutland Rd N at 705 Blk (NB),NB_Rutland Rd N_AT_705 Blk,49.896573,-119.3867,KEL,Kelowna Regional Transit System,Kelowna
140056,Bernard at Elm (EB),EB_Bernard_NS_Elm,49.886239,-119.465803,KEL,Kelowna Regional Transit System,Kelowna
140094,East Boundary at Wolfe (WB),WB_East Boundary_FS_Wolfe,49.839325,-119.5918,KEL,Kelowna Regional Transit System,Tsinstikeptum  9
140095,Eastbond East Boundary at Wolfe,EB_East Boundary_NS_Wolfe,49.839161,-119.591808,KEL,Kelowna Regional Transit System,Tsinstikeptum  9
140012,Gordon at Lexington (SB),SB_Gordon_FS_Lexington,49.839336,-119.482448,KEL,Kelowna Regional Transit System,Kelowna
140013,Sneena at Westside  (SB),SB_Sneena_FS_Westside,49.88069,-119.534173,KEL,Kelowna Regional Transit System,Tsinstikeptum 10
104911,Old Okanagan at Skyview (WB),WB_Old Okanagan_FS_Skyview,49.844959,-119.609489,KEL,Kelowna Regional Transit System,Tsinstikeptum  9
104912,Beach at 12th (EB),EB_Beach_FS_12th,49.781855,-119.726076,KEL,Kelowna Regional Transit System,Peachland
